developer,qntd_developer
Choice of Games,94
"KOEI TECMO GAMES CO., LTD.",75
Ripknot Systems,62
Laush Dmitriy Sergeevich,51
"Nikita ""Ghost_RUS""",51
Feral Interactive (Mac),45
Dexion Games,45
RewindApp,44
Hosted Games,40
Blender Games,40
Humongous Entertainment,36
Creobit,36
For Kids,36
Square Enix,35
EnsenaSoft,35
Alawar Entertainment,33
Eipix Entertainment,33
Tero Lunkka,33
Nekyau Games,32
Warfare Studios,31
HeR Interactive,30
MumboJumbo,29
Arc System Works,29
HexWar Games,29
ERS G Studios,29
Idea Factory,28
Valve,27
Sly,26
Ubisoft Montreal,25
Milestone S.r.l.,25
DRUNKEN APES,25
Winter Wolves,24
LucasArts,23
Red Dolphin Games,23
CSM,22
Garnudo Games,22
Feral Interactive (Linux),22
United Independent Entertainment GmbH,22
Jetdogs Studios,22
Daedalic Entertainment,21
DotEmu,21
Winged Cloud,21
Frontwing,21
Quiet River,21
Snkl Studio,21
Cyanide Studio,20
Gogii Games,20
FIVE-BN GAMES,20
Vyacheslav Shilikhin,20
"CAPCOM Co., Ltd.",19
"MicroProse Software, Inc",19
Team17 Digital Ltd,19
VIS-Games,19
baKno Games,19
Just1337 Studio,19
Elephant Games,19
Sacada,19
LillyWelland inc.,19
Night Dreams Studio,19
id Software,18
SNK CORPORATION,18
Boogygames Studios,18
Anatoliy Loginovskikh,18
Bullid Games,18
Capcom,17
Nihon Falcom,17
"Jackbox Games, Inc.",17
Primitive Studio,17
SharkGame,17
AFBIK Studio,17
Aspyr (Mac),16
Bohemia Interactive,16
Double Fine Productions,16
Firaxis Games,16
Cateia Games,16
Artifex Mundi,16
Aldorlea Games,16
Infogrames,16
Realore,16
FreezeNova,16
XiNFiNiTY Games,16
Falco Software,16
THQ Nordic,15
Spiderweb Software,15
b-alive gmbh,15
Compile Heart,15
David Mulder,15
StarSystemStudios™,15
NedoStudio,15
Wonderbox Games,15
Zloy Krot Studio,14
Simulators Live,14
vadimalexepta,14
CREATIVE ASSEMBLY,14
Big Fish Games,14
Traveller's Tales,14
NovaLogic,14
Microids,14
10tons Ltd,14
DL Softworks,14
Brave Giant LTD,14
ebi-hime,14
Sapphire Dragon Productions,14
Racing Bros,14
Mihai Morosanu,14
Andy Jurko,14
azimut team,14
Relic Entertainment,13
Telltale Games,13
SCS Software,13
Ubisoft,13
Nival,13
Paradox Development Studio,13
Totem Games,13
WayForward,13
Tin Man Games,13
"Spike Chunsoft Co., Ltd.",13
Boomzap Entertainment,13
Riviysky,13
Virtual Top,13
hallunazigames,13
Educational Games,13
Easy game,13
Real Fighting,13
Gamenesis,13
e-FunSoft Games,13
Fury Games Production,13
upjers,12
Playloft,12
Rebellion,12
GSC Game World,12
Crystal Dynamics,12
City Interactive S.A.,12
Targem Games,12
Croteam,12
Stardock Entertainment,12
Big Ant Studios,12
Forever Entertainment S. A.,12
Walter Machado,12
"Nippon Ichi Software, Inc.",12
RSK Entertainment,12
Pilgrim Adventures,12
Mad Head Games,12
Crew Lab,12
Fabio Cunha,12
Yash Future Tech Solutions Pvt Ltd,12
G. Malta,12
Gearbox Software,11
"PopCap Games, Inc.",11
Frogwares,11
NeocoreGames,11
"Arcen Games, LLC",11
SEGA,11
Abstraction Games,11
Shaman Games Studio,11
MAGES. Inc.,11
Blaze Epic,11
Tonguç Bodur,11
Astronomic Games,11
SimProse Studios,11
WhackAKey Games,11
Blue Tea Games,11
Bmc Studio,11
Amaterasu Software,11
Anamik Majumdar,11
GameHouse,11
Wolverine Studios,11
Notus Games Ltd,11
CASGames,11
stariy8419,11
Mikhail Melnikov,10
TSS Studio,10
ARGames,10
dev4play,10
IndieLip,10
КиКо,10
Raven Software,10
"CINEMAX, s.r.o.",10
1C Entertainment,10
TT Games,10
Bethesda Game Studios,10
Codemasters,10
ARTDINK,10
TML-Studios,10
Wastelands Interactive,10
World-Loom,10
Fabio Ferrara,10
Zeiva Inc,10
Zoo Corporation,10
JoyBits Ltd.,10
Anarchy Enterprises,10
Freshtrax,10
magnussoft,10
rokaplay,10
Dogenzaka Lab,10
The House of Fables,10
Sunward Games,10
Whiterra,10
Silver Cow Studio,10
Starodymov,10
Kiddy,10
DIGIDICED,10
Konstructors Entertainment,10
橙光游戏,10
EHTechnology,10
Dnovel,10
Dieselmine,10
Urchin Games,10
MyDreamForever,10
Techland,9
FireFly Studios,9
Last Day of Work,9
Obsidian Entertainment,9
Haemimont Games,9
